word,origin,category,root,first_use,history,modern_relatives
beef,French,French,boeuf (ox),13th century,"From Old French boeuf (ox, beef). After the Norman Conquest of 1066, French became the language of the English ruling class. The English peasants who raised the animals kept their Germanic words (cow, pig, sheep, deer). The French-speaking nobles who ate the cooked meat used French words, beef, pork, mutton, venison. This split is why English has two words for the same animal.",bovine
berserk,Old Norse,Old Norse,berserkr (bear-shirt),19th century,"Old Norse berserkr described Norse warriors who fought in a frenzied, trance-like state of extreme violence. The name likely means 'bear-shirt', either referring to warriors who wore bear skins into battle, or to bear-like ferocity. English borrowed the word from Walter Scott's 1822 novel 'The Pirate.'",
blockbuster,English,Other,blockbuster bomb,1940s,"Originally a World War II term for aerial bombs large enough to destroy an entire city block. The Royal Air Force used 'blockbusters' in bombing raids over Germany. After the war, real estate agents used the term for houses sold to Black families in white neighborhoods to 'bust' the racial block. By the 1970s, it had shifted entirely to entertainment: a film or book so successful it dominates the market.",
bonfire,Old English,Old English,ban (bone) + fyr (fire),15th century,"From Middle English banefire, literally 'bone fire.' Large fires fueled by bones (of plague victims, criminals, and livestock) were a common medieval practice for both sanitation and celebration. The Midsummer fires in Scotland were specifically bone fires. The word softened over centuries as the charnel association faded, leaving only the festive meaning.",fire
boycott,English,Other,"Captain Charles Boycott, 1880",1880,"In 1880, farmers in County Mayo, Ireland, refused to speak to Charles Boycott. He was an English land agent who would not cut rents. The Irish Land League organized every neighbor, shop, and postman against him. Within months, his name was a verb in newspapers across Europe.",
bungalow,Hindi,Other,bangla (of Bengal),17th century,"From Hindi bangla, meaning 'of or belonging to Bengal.' The style of low, wide-roofed thatched house common in Bengal was adopted by British colonial officers seeking relief from the tropical heat. The term was brought back to Britain and eventually spread worldwide to describe any single-story house with a wide porch.",
calculate,Latin,Latin,calculus (small stone),17th century,"Small stones did the math. Romans slid calculi (little stones) across counting boards to add, subtract, and multiply, and the Latin word for a pebble became the word for the whole practice. Calculus, the mathematical discipline codified by Newton and Leibniz, is the same root. So is calcium, named for limestone.",calculus; calcium; chalk
candidate,Latin,Latin,candidatus (clothed in white),17th century,"Roman politicians wore white. A citizen running for office bleached his toga (toga candida) so he would stand out in the crowd at the Forum and signal purity and honesty. Latin candidatus meant ""dressed in white,"" and that whitewashed toga is why every modern candidate for office carries the same word.",candid; candor; incandescent
capital,Latin,Latin,caput (head),14th century,"Head, in Latin, is caput. From that one word English gets the head city of a region (capital), the head sum in a bank account (capital), the punishment that removes a head (capital punishment), and even cattle (livestock accounted ""per head""). Every meaning radiates from the same body part.",chief; chapter; captain; cattle; decapitate
carnival,Latin,Latin,carne vale (farewell to meat),16th century,"Carnival means farewell to meat. Italian carnevale from medieval Latin carne vale marked the last feast before the 40-day Lenten fast, and Venice made the party notorious with masks and days of excess. The name of the last night out became the name of the whole tradition.",carnivore; carnal; incarnate
catastrophe,Greek,Greek,kata- (down) + strephein (to turn),16th century,"In Greek drama, the catastrophe was the final act: the decisive downward turn of the story. Kata- (down) plus strephein (to turn). The word carried the sense of a reversal of fortune long before it narrowed to disaster in modern English.",apostrophe; strophe
cereal,Latin,Latin,Ceres (goddess of grain),19th century,"Ceres was the Roman goddess of grain, agriculture, and childbirth (equivalent to Greek Demeter). Latin cerealis meant ""of Ceres,"" and English kept the word for grain plants in the early 19th century. The breakfast-food sense came later, courtesy of American food companies in the 1890s.",
chaos,Greek,Greek,"khaos (abyss, void)",15th century,"Before anything else, in Greek cosmology, there was Chaos. Hesiod's Theogony describes it as a yawning void from which the first gods emerged. Khaos in Greek meant chasm or gap, not disorder. The modern sense of jumbled confusion grew out of the void image over centuries.",chasm
chocolate,Nahuatl,Other,xocolatl (bitter water),17th century,"Chocolate started bitter and cold. The Aztecs mixed xocolatl (from xococ, ""bitter,"" plus atl, ""water"") with chili peppers and ground corn, and drank it as a ritual beverage. Spanish conquistadors brought it back to Europe in the 16th century, where cooks added sugar and heat. What arrived as a ceremonial drink left as dessert.",
circus,Latin,Latin,"circus (circle, ring)",16th century,"Directly from Latin circus, meaning 'ring' or 'circle.' In ancient Rome, the Circus Maximus was a massive oval stadium for chariot races and public spectacles. The modern traveling circus with acrobats and animals adopted the name in the 18th century.",circle; circuit; circa; circular
cliché,French,French,clicher (to stereotype),19th century,"From French cliché, the past participle of clicher, a printers' term for the sound made when a stereotype plate (a cast of a set of type) hit the molten metal. Printers kept common phrases in ready-made plates to save typesetting time. These frequently reused phrases gave us the figurative meaning: an overused expression.",
clue,Old English,Old English,clew (ball of yarn),Old English,"From Old English cleowen (ball of yarn or thread). In Greek mythology, Ariadne gave Theseus a ball of thread to unspool as he entered the Minotaur's labyrinth, letting him find his way back out. The clew, the thread, was what led to the solution. By the 16th century, 'clue' (a spelling variant of clew) had acquired the figurative meaning of any piece of evidence that guides toward an answer.",
coffee,Arabic,Arabic,qahwa (wine of the bean),16th century,"Coffee started in the Ethiopian highlands, moved to Yemen, and became the drink of choice for Sufi monks who needed to stay awake through long night prayers. Arabic qahwa originally meant wine, then transferred to the dark, bitter, stimulating brew made from roasted beans. It reached Europe by way of Ottoman Istanbul in the 17th century and turned the West's daily habits upside down within a hundred years.",café; caffeine
companion,Latin,Latin,com- (with) + panis (bread),13th century,"A companion, literally, is someone you share bread with. Late Latin companio joined com- (with) and panis (bread), and originally named the soldier who ate from the same ration in the same unit. The bond of shared food is baked into the word.",company; accompany; pantry
cotton,Arabic,Arabic,qutn (cotton),14th century,"From Arabic qutn, the word for the cotton plant and its fibers. Arab traders controlled the cotton trade across North Africa, the Middle East, and into Europe during the medieval period. The word traveled with the trade routes through Italian cotone and French coton before entering English.",
curfew,French,French,couvre-feu (cover the fire),13th century,"From Anglo-French coeverfu, from Old French cuevre-feu, literally 'cover the fire.' Medieval towns required fires to be covered or extinguished at a fixed evening hour (signaled by a bell) to prevent house fires from spreading. The curfew bell told people to cover their hearths. The modern sense of restricting movement after dark evolved from this fire-safety rule.",
democracy,Greek,Greek,demos (people) + kratos (power),16th century,"Fifth-century Athens invented a word for its new political system: demokratia, from demos (the people) and kratos (power). The Athenian version excluded women, slaves, and foreigners, but the name outlived the arrangement, and 2,500 years of debate have kept trying to fill it in.",pandemic; epidemic; aristocracy; bureaucracy
disaster,Italian,Other,dis- (bad) + astro (star),16th century,"A disaster is literally a bad star: Italian disastro (dis-, ""bad,"" plus astro, ""star"") recorded the medieval belief that unfavorable planetary alignments caused catastrophes on Earth.", literally 'bad star.' Medieval astrologers believed that the positions of stars and planets directly caused catastrophic events on Earth. An unfavorable celestial alignment was a 'bad star' event, a disaster. The same belief gives us 'ill-starred.',astrology; astronomy; asterisk
disease,French,French,des- (not) + aise (ease),14th century,"From Old French desaise, literally 'not at ease,' discomfort. Originally meant simply a state of discomfort or unpleasantness, not necessarily illness. The medical narrowing to 'illness' happened gradually in the 14th–15th centuries as the word became specifically associated with bodily ailments. 'Ease' as comfort survives in 'at ease.'",ease; uneasy
dunce,Proper name,Other,John Duns Scotus (1266–1308),16th century,"Named after John Duns Scotus, a brilliant medieval philosopher whose 'Dunsmen' followers dominated European universities. Renaissance humanists mocked the Dunsmen as hopelessly rigid and backward-looking, making 'Duns' an insult for anyone resistant to new learning. A follower of the genius Duns Scotus became synonymous with stupidity, one of history's crueler ironies.",
egg,Old Norse,Old Norse,egg (egg),14th century,"Old English had the word ey for egg, but Norse settlers in northern England used egg. For centuries, the two words coexisted in different parts of England, a source of genuine confusion. William Caxton complained in 1490 that a merchant in Kent could not buy eggs because the local word was still ey. Norse egg eventually won everywhere.",
genuine,Latin,Latin,genu (knee),16th century,"Possibly from Latin genu (knee), referring to the ancient Roman custom of a father acknowledging a newborn child as his own by placing it on his knee. A child so acknowledged was 'genuine', truly the father's own. Alternative theories trace it to Latin genus (birth, race).",genus; generate; gender
glamour,Scottish,Other,grammar (occult knowledge),18th century,"A Scottish variant of 'grammar.' In medieval times, literacy and learning were associated with magic, only learned scholars and clergy could read, and their knowledge seemed supernatural to the illiterate majority. 'Grammar' came to mean occult knowledge in Scottish dialects, and 'glamour' was the enchantment cast by such magic. It later shifted to mean worldly enchantment and allure.",grammar; grimoire
grotesque,French,French,"grotta (cave, grotto)",16th century,"From French grotesque, from Italian grottesca, 'of a grotto.' When Renaissance excavators uncovered ancient Roman rooms (called grotte, caves) in the late 15th century, they found elaborate decorative paintings with fantastical hybrid figures, humans merging with plants and animals. These bizarre cave paintings inspired a distinctive style called 'grotesque' decoration, later any bizarre or distorted form.",grotto; crypt
gymnasium,Greek,Greek,gymnos (naked),16th century,"Ancient Greek athletes trained naked. Gymnasion meant ""a place for exercising,"" from gymnos (naked), and the practice was both practical (nothing to catch or tear) and symbolic (nothing to distinguish rich from poor). Modern German still uses the word for academic high schools; modern English uses it for the room where people wear far more clothing than the Greeks did.",gymnastics; gymnast
hazard,Arabic,Arabic,az-zahr (the dice),13th century,"From Old Spanish azar, from Arabic az-zahr (the dice). It entered English through a dice game called hazard that Crusaders learned from Arab traders in the Middle East. By the 16th century, the gambling connotation expanded to mean any chance or risk.",hazardous
hurricane,Taino,Other,huracán (god of the storm),16th century,"From Spanish huracán, from Taino huracán, the storm god in the indigenous Taino religion of the Caribbean. When Spanish explorers first encountered these massive Atlantic storms in the 15th century, they adopted the indigenous name. The Taino people, nearly exterminated by colonization, left their language in English through words like hurricane, hammock, canoe, and barbecue.",
inaugurate,Latin,Latin,augur (diviner of omens),17th century,"Roman augurs watched birds. A new office, a battle, a temple, none of it could begin until they had studied the flight, feeding, and songs of birds for the will of the gods. Inaugurare meant ""to take those omens first,"" and every modern inauguration is technically still asking the birds' permission.",augur; augment; august
jungle,Hindi,Other,"jangal (wasteland, forest)",18th century,"From Hindi jangal, from Sanskrit jangala (rough, arid terrain). In Hindi, jangal referred to any uncultivated land, not specifically dense tropical forest. British colonial officers in India adopted the word for dense tropical growth. The lush, dangerous jungle of popular imagination came from British accounts of India, not from the original meaning of sparse wasteland.",
ketchup,Chinese,Other,kê-tsiap (brine of pickled fish),18th century,"Original English ketchup contained no tomatoes. The word comes from Hokkien Chinese kê-tsiap or Malay kicap, a salty sauce fermented from fish or shellfish that British sailors picked up in Southeast Asia in the 17th century. Back home, cooks recreated it from mushrooms, walnuts, and anchovies. Tomatoes only entered the recipe in early 19th-century America.",
magazine,Arabic,Arabic,makhazin (storehouses),16th century,"From Arabic makhazin, plural of makhzan (storehouse, treasury). The word entered English via French and Italian to mean a storage room for arms and ammunition (gunpowder 'magazines' in forts). Printed publications adopted the name metaphorically in the 17th century, positioning themselves as storehouses of information and entertainment.",
manufacture,Latin,Latin,manus (hand) + facere (to make),16th century,"Manufactured originally meant handmade. Latin manus (hand) plus factura (a making). The word entered English in the 16th century for goods produced by artisans, and only later, once the Industrial Revolution moved production into factories, did it come to mean the opposite. The hand is gone from most modern manufacturing, but still preserved in the name.",manual; factory; artifact; facility
marathon,Greek,Greek,Marathonos (place name),19th century,"In 490 BC, on a plain northeast of Athens, a much smaller Greek army defeated the Persian invasion force at the battle of Marathon. Legend says the soldier Pheidippides ran the 26 miles back to Athens to announce the victory, delivered the news, and dropped dead. When the modern Olympics were revived in 1896, organizers created a race at roughly that distance and named it for the plain.",
mattress,Arabic,Arabic,matrah (place where something is thrown),13th century,"From Arabic matrah, 'a place where something is thrown or laid down,' from taraha (to throw). Arab bedding, cushions or padded mats laid on the floor, was far more comfortable than European straw bedding, and Crusaders returning from the Holy Land brought both the product and its name back to Europe.",
meander,Greek,Greek,Maiandros (a river in Turkey),16th century,"A river in western Turkey called the Maiandros twisted back on itself so extravagantly that its name became a byword for any winding path. Greek geometers used its curves as teaching examples; Roman decorators borrowed them for the classic key-pattern border. The river is still there. So is its name, in every language that borrowed it.",
mentor,Greek,Greek,Mentor (character in the Odyssey),18th century,"When Odysseus left for Troy in the Odyssey, he handed his household over to a friend named Mentor. In the story, the goddess Athena keeps taking Mentor's form to advise his young son. François Fénelon revived the character in a 1699 novel, and by the 18th century ""mentor"" was the English word for any trusted guide.",
money,Latin,Latin,Moneta (title of Juno),14th century,"Rome's mint stood inside a temple. Specifically, the temple of Juno Moneta on the Capitoline Hill, and the coins struck there took the goddess's title. Moneta became Old French moneie, then English money. Juno's temple gave the world its most basic economic word.",mint; monetary; monitor
mortgage,French,French,mort (dead) + gage (pledge),14th century,"A mortgage is a dead pledge. Old French mort- (dead) plus gage (pledge). Legal scholars gave two explanations for the ""dead"": either the pledge dies when the debtor pays, or the property dies to the creditor if the debtor defaults. Every homeowner is party to a small linguistic tomb.",mortuary; mortal; amortize
muscle,Latin,Latin,musculus (little mouse),14th century,"A muscle looks like a small mouse. That was the Roman comparison behind Latin musculus (little mouse), which captured how muscles rippled under the skin. The same word also gave us mussel, since the shellfish reminded Romans of a mouse curled in its shell.",mussel
music,Greek,Greek,Mousa (the Muses),13th century,"From Greek mousike, 'art of the Muses.' The nine Muses were Greek goddesses who presided over arts and sciences. Mousike originally covered poetry, dance, and song together, all arts inspired by the Muses. The modern narrowing to organized sound came through Latin and Old French.",museum; muse; mosaic
naive,French,French,"naïf (natural, unaffected)",17th century,"From French naïf (feminine: naïve), meaning 'natural, native, unaffected.' The French word derived from Latin nativus (native, innate). Originally positive, describing natural, unspoiled simplicity, it gradually acquired the sense of 'lacking worldly experience' and then 'foolishly credulous.' The two dots over the i (diaeresis) show the two vowels are pronounced separately.",native; nativity
narcissism,Greek,Greek,Narkissos (mythological youth),19th century,"Narcissus was a beautiful youth who caught sight of his own reflection in a pool and could not stop looking. He wasted away staring at himself. A narcissus flower grew where he died. Freud borrowed the myth in 1914 to name a personality pattern; the psychological term is younger than the flower.",narcissus; narcotic
nice,Latin,Latin,nescius (ignorant),13th century,"One of English's most dramatic meaning shifts. From Latin nescius (ignorant), Old French nice meant 'foolish, silly.' By the 14th century it had evolved to 'wanton, lascivious,' then 'coy, shy.' By the 15th century it meant 'refined, precise.' By the 18th century it had settled into 'agreeable, pleasant.' Five centuries of gradual improvement from 'stupid' to 'pleasant.'",
nightmare,Old English,Old English,niht (night) + mare (evil spirit),13th century,"From Old English niht (night) + mære, an evil spirit in Germanic and Norse folklore that was believed to sit on sleepers' chests causing feelings of suffocation and terror. The 'mare' was a goblin or demon, not a female horse. 'Night-mare' literally meant 'night-goblin.' The horse meaning is a complete coincidence of spelling.",
palace,Latin,Latin,"Palatium (Palatine Hill, Rome)",13th century,"The Palatine Hill was one of Rome's original seven. Augustus built his home there, and every emperor after him did the same, so the hill's name (Palatium) became a byword for grand residence. Every palace in Europe traces its label back to that Roman address.",palatial
panic,Greek,Greek,Pan (god of wild places),17th century,"The god Pan lived in forests and mountains, and if you woke him from his midday nap he made you afraid. Greeks called that sudden, causeless terror panikon, ""of Pan."" Every mass fright of unclear origin was Pan's doing. ""Panic attack"" still carries the god's fingerprint.",pandemonium
paradise,Greek,Greek,pairidaeza (walled garden),12th century,"Paradise was a garden wall. Persian kings kept walled parks stocked with exotic animals and plants, and Old Iranian pairidaeza (pairi, ""around,"" plus daeza, ""wall"") named the enclosure. Greek writers borrowed the word as paradeisos and applied it to the Garden of Eden. The wall came with it.",
philosophy,Greek,Greek,philos (loving) + sophia (wisdom),13th century,"Pythagoras refused to be called a wise man. He said ""lover of wisdom"" (philosophos in Greek) was closer to the truth: wisdom was something you pursued, not something you owned. The word he preferred is the one that stuck.",philosophy; sophisticated; sophomore
photograph,Greek,Greek,phos (light) + graphe (drawing),19th century,"Coined by British scientist John Herschel in 1839 from Greek phos/photos (light) + graphein (to write or draw). A photograph is literally 'writing with light.' Herschel also coined 'positive,' 'negative,' and 'snapshot' as photography terms. The Greek-root compound system lets scientists name inventions with descriptive precision.",photography; photon; photosynthesis; graphic; biography
pork,French,French,porc (pig),13th century,"From Old French porc (pig). Like beef, the word shows the Norman class divide: English-speaking peasants raised pigs and kept the Germanic word (pig, swine), while French-speaking nobles who ate the cooked meat used the French term. 'Pork barrel' came much later, from American politics.",porpoise; porcupine
propaganda,Latin,Latin,"propagare (to propagate, spread)",17th century,"Propaganda started as a Catholic missionary committee. In 1622, Pope Gregory XV founded the Congregatio de Propaganda Fide to spread the faith into contested territories, and ""Propaganda"" (short for the committee) became a familiar word for organized persuasion. The 20th century, after two world wars of state-sponsored messaging, took the word darker.",propagate; propagation
quarantine,Italian,Other,quarantina (40 days),14th century,"Venice invented quarantine. During the Black Death, the city required arriving ships to anchor offshore for forty days (quaranta giorni in Italian) before anyone could come ashore. The number came from biblical periods of trial: forty days of the flood, forty years in the desert. The practice spread across Europe under the shortened name.",quadrant; quarter
quiz,Unknown,Other,possibly q.v.s. (who you are),18th century,"Nobody knows where quiz came from. A popular Dublin story says a theater owner in 1791 bet he could invent a word overnight, chalked ""quiz"" on walls across the city, and won by breakfast. The story is undocumented. Scholars suspect a plain Latin source (quis, ""who"") or a clipped form of ""inquisition."" One of English's real etymological mysteries.",
restaurant,French,French,restaurer (to restore),19th century,"From French restaurant, 'something that restores,' from restaurer (to restore). The first restaurants appeared in Paris around 1765, offering restorative broths (bouillons restaurants) to the weak and sick. The idea of a place where individual diners chose from a menu and were served at tables was a revolutionary concept, before restaurants, you ate what was served at inns.",restore; restoration
rival,Latin,Latin,rivalis (sharing a stream),16th century,"Farmers on the same stream fought each other for water. Latin rivalis originally meant exactly that: ""one who uses the same stream,"" from rivus (stream). The word for that specific quarrel over shared water became the general word for any competitor over any shared thing.",river; derive; arrive
robot,Czech,Other,"robota (forced labor, drudgery)",1920,"Robot has a birthday. Czech writer Karel Čapek used it in his 1920 play R.U.R. (Rossum's Universal Robots), from Czech robota, meaning forced labor. Čapek credited his brother Josef, who suggested the word over coffee.",
sabotage,French,French,sabot (wooden shoe),20th century,"Sabots are wooden shoes. French factory workers wore them, and during labor disputes in the early 20th century they were said to jam the shoes into machinery to shut down production. Whether that ever actually happened is disputed, but ""to work like you are wearing sabots"" (clumsily, slowly, with intent) gave French saboter and English sabotage.",
salary,Latin,Latin,sal (salt),14th century,"Salary is a Latin word for salt money: Roman soldiers were paid a salarium so they could buy salt, and the phrase ""worth his salt"" is 2,000 years old.",salad; sauce; salsa; brine
sandwich,Proper name,Other,"John Montagu, 4th Earl of Sandwich",18th century,"John Montagu, 4th Earl of Sandwich, was a heavy gambler. Around 1762 he reportedly asked his servants to bring him meat between two slices of bread so he would not have to leave the card table. Whether the story is true or invented by his critics, his title stuck to the food and travelled into every European language.",
school,Greek,Greek,"skhole (leisure, discussion)",Old English,"School meant leisure. Greek skhole was time away from work, the free hours during which citizens could sit and argue about ideas. Only people with someone else doing their physical labor had that time, so education was baked in as a luxury of the free-born. The word still carries the assumption.",scholar; scholastic
serendipity,English,Other,Serendip (old name for Sri Lanka),18th century,"Horace Walpole invented serendipity in a letter dated 28 January 1754. He borrowed the name Serendip (an old Persian name for Sri Lanka) from a fairy tale in which three princes solve problems by lucky accident. Walpole coined the word to describe that faculty: happy discoveries you did not set out to find. Few English words have a documented birthday and an inventor. This one has both.",
shampoo,Hindi,Other,"chāmpo (press, knead)",18th century,"From Hindi chāmpo, the imperative of chāmpnā (to press, knead). In India, head massage, including scalp pressing, was a common service at bathhouses. British colonists in 18th-century India encountered this practice and brought the word home. The original meaning was the massage itself; the hair-washing product came later.",
silhouette,French,French,Étienne de Silhouette (French minister),18th century,"Named after Étienne de Silhouette (1709–1767), a notoriously cheap French Controller-General of Finances. He imposed harsh austerity measures in 1759, cutting government spending so aggressively that his name became synonymous with cheapness and minimalism. Profile portraits cut from black paper, a simple, low-cost substitute for painted portraits, were mockingly called 'silhouettes' after him.",
silly,Old English,Old English,"sælig (blessed, happy)",13th century,"Old English sælig meant 'blessed, happy, fortunate', a very positive word. By Middle English it had shifted to 'pious, innocent.' Then 'innocent' drifted to 'naive, simple.' By the 16th century it meant 'foolish.' The word's journey from 'divinely blessed' to 'foolish' took about 500 years, one of English's most dramatic semantic reversals.",
sincere,Latin,Latin,sincerus (pure); 'sine cera' story is folk etymology,16th century,"From Latin sincerus, meaning pure or unmixed. The popular 'without wax' story (dishonest sculptors hiding marble flaws with wax; honest work was 'sine cera') is folk etymology. It has been repeated for centuries but is not attested in any Roman source. Modern etymologists trace sincerus to Proto-Indo-European roots meaning 'of one growth, pure,' most likely sem- (one) plus ker- (grow). The wax anecdote survives because it is memorable, not because it is documented.",wax
sky,Old Norse,Old Norse,ský (cloud),13th century,"From Old Norse ský, meaning 'cloud.' Old English had a perfectly good word for the heavens, heofon (heaven), but Norse settlers who colonized northern England in the 9th century brought ský with them. The word shifted meaning from 'cloud' to the entire vault above us, replacing heofon in everyday speech.",
slogan,Gaelic,Other,sluagh-ghairm (army shout),16th century,"From Scottish Gaelic sluagh-ghairm, the battle cry of a Scottish Highland clan, a compound of sluagh (army, host) + gairm (shout, cry). Highland clans shouted their family war cry when charging into battle. English writers first encountered these dramatic battle cries during Scottish conflicts. By the 19th century 'slogan' had transferred to any striking political or advertising phrase.",
tantalize,Greek,Greek,Tantalos (mythological king),19th century,"Named after Tantalus, a king in Greek mythology who offended the gods and was punished in Hades by being made to stand in a pool of water beneath fruit trees. When he reached for the fruit, branches pulled away; when he bent to drink, the water receded. His name gave English the verb 'tantalize', to tease with something desirable just out of reach.",
tariff,Arabic,Arabic,"ta'rifa (notification, schedule of fees)",16th century,"From Arabic ta'rifa, 'notification' or 'inventory of fees,' from arrafa (to notify). The word entered European languages through trade with Arab merchants in the Mediterranean. A tariff was originally a list posted at a port or market showing the fees due on various goods, an official notification of charges.",
telephone,Greek,Greek,tele (far) + phone (voice),19th century,"Coined in the 19th century from Greek tele (far off) + phone (voice, sound). The elements were classical Greek but the compound word was new, invented to name a new technology for transmitting voice over distances. Alexander Graham Bell registered the patent in 1876. Many scientific coinages of the 19th–20th centuries follow this pattern of Greek-root compounds.",television; telegram; phonetics; microphone
theater,Greek,Greek,theatron (a place for viewing),14th century,"Theater comes from the audience, not the actors. Greek theatron meant ""a place for viewing,"" from theasthai (to behold). The tiered Greek theaters built into hillsides put sightlines first, and the word preserves the priority: a theater is defined by who watches, not who performs.",theory; theorize
tragedy,Greek,Greek,tragos (goat) + ode (song),14th century,"Tragedy is literally ""goat song."" Greek tragoidia joins tragos (goat) and ode (song), and scholars still disagree on why. The Dionysia dramatic competitions may have awarded a goat, actors may have worn goatskins, or the chorus may have performed as satyrs. Western drama's foundational term is unresolved goat business.",tragic; odeum; melody
travel,French,French,"travail (hard work, torture)",14th century,"Travel comes from a torture device. Old French travail meant painful labor, from Vulgar Latin tripaliare (to torture with a tripalium, a three-staked frame). Medieval journeys were painful enough (bandits, weather, disease, months on foot or horse) that the same word covered both experiences. English later split off ""travail"" for the ordeal and ""travel"" for the trip, but the two used to be one thing.",travail
treacle,Greek,Greek,theriake (antidote against wild beast bites),14th century,"Treacle was medicine before it was syrup. Greek theriake antidotos meant an antidote against animal venom, and medieval apothecaries sold complex compounds under the name, promising a cure for any poison. Cheaper versions leaned on molasses as a base. By the 18th century, only the molasses part remained.",
trivial,Latin,Latin,trivium (three roads),15th century,"At every Roman crossroads (a trivium, from tri-, ""three,"" plus via, ""road""), people stopped to gossip. Whatever they talked about there was crossroads talk: unimportant, everyday, trivial. The same trivium later named the three-subject foundation of medieval university study (grammar, logic, rhetoric), though that meaning did not stick.",trivia; via; viaduct
tycoon,Japanese,Other,taikun (great lord),19th century,"From Japanese taikun (great lord), composed of tai (great) + kun (lord, ruler). American sailors and diplomats who visited Japan in the 1850s brought the title back to describe the Japanese shogun. President Lincoln's cabinet used 'Tycoon' as a nickname for Lincoln himself. By the late 19th century it had transferred to powerful business magnates.",
typhoon,Greek,Greek,typhon (whirlwind),16th century,"Typhoon reached English by two roads that ended in the same spelling. From Greek typhon, a monstrous storm-god who fought Zeus with serpent legs. And from Chinese tai fung (""great wind""), transmitted through Portuguese trade routes as tufão. Both meanings converged in the 16th century into one word for the giant tropical cyclones of the Pacific and Indian Oceans.",typhus
ugly,Old Norse,Old Norse,"uggligr (fearful, dreadful)",13th century,"From Old Norse uggligr, 'to be dreaded or feared,' from ugga (to fear). The original meaning was 'frightening or menacing', something that inspired dread. The shift from 'frightening' to 'unattractive in appearance' happened gradually in Middle English. Something ugly was originally dangerous, not just displeasing.",
